 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.0000;
     1    0.022               0               0               0          0.0000;
     2    0.044               0               0               0          0.0000;
     3    0.066               0               0               0          0.0000;
     4    0.089               0               0               0          0.0000;
     5    0.111               0               0               0          0.0000;
     6    0.133               0               0               0          0.0000;
     7    0.155               0               0               0          0.0000;
     8    0.177               0               0               0          0.0000;
     9    0.199               0               0               0          0.0000;
    10    0.221               0               0               0          0.0000;
    11    0.243               0               0               0          0.0000;
    12    0.266               0               0               0          0.0000;
    13    0.288               0               0               0          0.0000;
    14    0.310               0               0               0          0.0000;
    15    0.332               0               0               0          0.0000;
    16    0.354               0               0               0          0.0000;
    17    0.376               0               0               0          0.0000;
    18    0.398               0               0               0          0.0000;
    19    0.421               0               0               0          0.0000;
    20    0.443               0               0               0          0.0000;
    21    0.465               0               0               0          0.0000;
    22    0.487               0               0               0          0.0000;
    23    0.509               0               0               0          0.0000;
    24    0.531               0               0               0          0.0000;
    25    0.553               0               0               0          0.0000;
    26    0.576               0               0               0          0.0000;
    27    0.598               0               0               0          0.0006;
    28    0.620               0               0               0          0.0006;
    29    0.642               0               0               0          0.0006;
    30    0.664               0               0               0          0.0012;
    31    0.686               0               0               0          0.0012;
    32    0.708               0               0               0          0.0012;
    33    0.730               0               0               0          0.0018;
    34    0.753               0               0               0          0.0024;
    35    0.775               0               0               0          0.0024;
    36    0.797               0               0               0          0.0031;
    37    0.819               0               0               0          0.0037;
    38    0.841               0               0               0          0.0043;
    39    0.863               1               0               0          0.0049;
    40    0.885               1               0               0          0.0061;
    41    0.908               1               0               0          0.0067;
    42    0.930               1               0               0          0.0079;
    43    0.952               1               0               0          0.0092;
    44    0.974               1               0               0          0.0104;
    45    0.996               1               0               0          0.0122;
    46    1.018               1               0               0          0.0140;
    47    1.040               2               0               0          0.0159;
    48    1.063               2               0               0          0.0177;
    49    1.085               2               0               0          0.0201;
    50    1.107               2               0               0          0.0226;
    51    1.129               3               0               0          0.0256;
    52    1.151               3               0               0          0.0287;
    53    1.173               3               0               0          0.0317;
    54    1.195               4               0               0          0.0354;
    55    1.217               4               0               0          0.0397;
    56    1.240               5               0               0          0.0440;
    57    1.262               5               0               0          0.0488;
    58    1.284               6               0               0          0.0543;
    59    1.306               6               2               0          0.0598;
    60    1.328               7               2               0          0.0659;
    61    1.350               8               2               0          0.0726;
    62    1.372               8               2               0          0.0800;
    63    1.395               9               2               0          0.0879;
    64    1.417              10               2               0          0.0965;
    65    1.439              11               3               0          0.1056;
    66    1.461              12               3               0          0.1154;
    67    1.483              13               3               0          0.1258;
    68    1.505              14               4               0          0.1374;
    69    1.527              15               4               0          0.1496;
    70    1.549              17               5               0          0.1624;
    71    1.572              18               6               0          0.1764;
    72    1.594              20               8               0          0.1917;
    73    1.616              21              11               0          0.2076;
    74    1.638              23              15               2          0.2241;
    75    1.660              25              21               3          0.2411;
    76    1.682              27              30               5          0.2589;
    77    1.704              29              43               8          0.2766;
    78    1.727              30              62              13          0.2949;
    79    1.749              32              86              19          0.3138;
    80    1.771              34             117              27          0.3321;
    81    1.793              36             156              37          0.3510;
    82    1.815              38             203              49          0.3694;
    83    1.837              40             258              63          0.3871;
    84    1.859              42             322              79          0.4048;
    85    1.882              43             395              98          0.4212;
    86    1.904              45             474             118          0.4365;
    87    1.926              46             563             139          0.4512;
    88    1.948              48             665             162          0.4640;
    89    1.970              49             774             189          0.4756;
    90    1.992              50             900             220          0.4847;
    91    2.014              50            1039             254          0.4927;
    92    2.036              51            1193             293          0.4976;
    93    2.059              51            1363             335          0.4994;
    94    2.081              51            1546             382          0.4988;
    95    2.103              51            1743             433          0.4951;
    96    2.125              50            1953             485          0.4872;
    97    2.147              49            2178             538          0.4756;
    98    2.169              47            2416             596          0.4597;
    99    2.191              45            2663             659          0.4389;
   100    2.214              42            2922             725          0.4127;
   101    2.236              39            3190             793          0.3816;
   102    2.258              35            3466             861          0.3455;
   103    2.280              31            3751             930          0.3053;
   104    2.302              26            4035            1003          0.2607;
   105    2.324              21            4320            1076          0.2131;
   106    2.346              16            4604            1149          0.1624;
   107    2.368              11            4886            1219          0.1087;
   108    2.391               5            5162            1286          0.0537;
   109    2.413              -1            5421            1353         -0.0031;
   110    2.435              -7            5667            1417         -0.0598;
   111    2.457             -12            5898            1475         -0.1166;
   112    2.479             -18            6112            1528         -0.1728;
   113    2.501             -24            6303            1575         -0.2271;
   114    2.523             -29            6467            1616         -0.2790;
   115    2.546             -34            6599            1649         -0.3278;
   116    2.568             -38            6698            1675         -0.3724;
   117    2.590             -42            6763            1692         -0.4121;
   118    2.612             -46            6792            1700         -0.4457;
   119    2.634             -49            6786            1700         -0.4719;
   120    2.656             -50            6747            1690         -0.4902;
   121    2.678             -51            6678            1673         -0.4994;
   122    2.701             -51            6580            1648         -0.4982;
   123    2.723             -50            6454            1616         -0.4853;
   124    2.745             -47            6302            1577         -0.4615;
   125    2.767             -43            6127            1533         -0.4267;
   126    2.789             -39            5933            1484         -0.3828;
   127    2.811             -33            5726            1432         -0.3303;
   128    2.833             -27            5511            1377         -0.2711;
   129    2.855             -20            5291            1321         -0.2051;
   130    2.878             -13            5070            1265         -0.1355;
   131    2.900              -6            4852            1210         -0.0623;
   132    2.922               2            4642            1157          0.0128;
   133    2.944              10            4444            1107          0.0885;
   134    2.966              17            4262            1061          0.1624;
   135    2.988              25            4102            1021          0.2338;
   136    3.010              31            3970             987          0.3004;
   137    3.033              37            3869             961          0.3602;
   138    3.055              43            3804             944          0.4121;
   139    3.077              47            3778             937          0.4542;
   140    3.099              50            3791             939          0.4835;
   141    3.121              51            3836             950          0.4982;
   142    3.143              51            3913             970          0.4969;
   143    3.165              49            4017             996          0.4786;
   144    3.188              45            4146            1029          0.4444;
   145    3.210              40            4297            1068          0.3962;
   146    3.232              34            4463            1110          0.3364;
   147    3.254              27            4641            1155          0.2668;
   148    3.276              19            4825            1201          0.1893;
   149    3.298              10            5012            1249          0.1056;
   150    3.320               1            5196            1295          0.0189;
   151    3.342              -8            5371            1340         -0.0690;
   152    3.365             -17            5533            1382         -0.1557;
   153    3.387             -25            5677            1418         -0.2381;
   154    3.409             -33            5798            1449         -0.3144;
   155    3.431             -40            5893            1473         -0.3810;
   156    3.453             -45            5957            1489         -0.4359;
   157    3.475             -49            5986            1497         -0.4756;
   158    3.497             -51            5981            1498         -0.4976;
   159    3.520             -51            5945            1488         -0.4976;
   160    3.542             -49            5881            1472         -0.4762;
   161    3.564             -44            5795            1450         -0.4359;
   162    3.586             -38            5691            1424         -0.3779;
   163    3.608             -31            5573            1394         -0.3065;
   164    3.630             -22            5445            1361         -0.2234;
   165    3.652             -13            5313            1327         -0.1331;
   166    3.674              -3            5182            1294         -0.0366;
   167    3.697               7            5059            1263          0.0611;
   168    3.719              17            4949            1234          0.1569;
   169    3.741              26            4858            1211          0.2485;
   170    3.763              35            4794            1195          0.3309;
   171    3.785              42            4759            1186          0.4017;
   172    3.807              47            4758            1184          0.4554;
   173    3.829              50            4789            1191          0.4896;
   174    3.852              51            4848            1206          0.4994;
   175    3.874              49            4935            1228          0.4829;
   176    3.896              45            5049            1257          0.4420;
   177    3.918              38            5185            1292          0.3803;
   178    3.940              30            5338            1331          0.3022;
   179    3.962              21            5502            1373          0.2106;
   180    3.984              10            5670            1416          0.1105;
   181    4.007              -0            5834            1458          0.0049;
   182    4.029             -11            5989            1497         -0.1013;
   183    4.051             -22            6127            1531         -0.2039;
   184    4.073             -31            6243            1560         -0.2985;
   185    4.095             -40            6330            1582         -0.3803;
   186    4.117             -46            6382            1596         -0.4444;
   187    4.139             -50            6397            1600         -0.4866;
   188    4.161             -51            6374            1596         -0.5006;
   189    4.184             -49            6318            1581         -0.4835;
   190    4.206             -44            6234            1560         -0.4389;
   191    4.228             -37            6125            1533         -0.3706;
   192    4.250             -28            6000            1501         -0.2827;
   193    4.272             -18            5865            1467         -0.1819;
   194    4.294              -6            5728            1432         -0.0714;
   195    4.316               5            5596            1398          0.0427;
   196    4.339              17            5474            1367          0.1557;
   197    4.361              28            5371            1341          0.2613;
   198    4.383              37            5294            1321          0.3547;
   199    4.405              45            5249            1309          0.4292;
   200    4.427              49            5238            1306          0.4799;
   201    4.449              51            5264            1311          0.4994;
